"variable","item"
"time","Timestamp"
"area","What.area...program.of.psychology.are.you.most.interested.in.researching."
"has.laptop","Please.answer.the.following.questions.about.your.past.experience.with.statistics.and.programming...Okay.if.the.answers.are.no....Do.you.have.access.to.a.laptop.you.can.bring.to.lecture.."
"write.code","Please.answer.the.following.questions.about.your.past.experience.with.statistics.and.programming...Okay.if.the.answers.are.no....Have.you.ever.written.a.line.of.computer.code.."
"know.prog","Please.answer.the.following.questions.about.your.past.experience.with.statistics.and.programming...Okay.if.the.answers.are.no....Do.you.know.any.programming.languages.."
"has.data","Please.answer.the.following.questions.about.your.past.experience.with.statistics.and.programming...Okay.if.the.answers.are.no....Do.you.have.access.to.datasets.from.your.lab...own.research.to.use.in.this.class.."
"know.r","What.s.your.familiarity.with.R."
"can.import","Which.of.the.following.do.you.feel.comfortable.doing..Note...It.s.okay.if.you.don.t.feel.comfortable.doing.any.of.this.yet..The.point.of.the.class.is.to.learn....but.it.will.help.me.get.a.sense.of.the.pace.for.the.first.few.weeks...Import.data.into.R."
"can.clean","Which.of.the.following.do.you.feel.comfortable.doing..Note...It.s.okay.if.you.don.t.feel.comfortable.doing.any.of.this.yet..The.point.of.the.class.is.to.learn....but.it.will.help.me.get.a.sense.of.the.pace.for.the.first.few.weeks...Clean.data.in.R..remove.outliers..rename.variables..merge.data.frames.."
"can.graph","Which.of.the.following.do.you.feel.comfortable.doing..Note...It.s.okay.if.you.don.t.feel.comfortable.doing.any.of.this.yet..The.point.of.the.class.is.to.learn....but.it.will.help.me.get.a.sense.of.the.pace.for.the.first.few.weeks...Graph.a.variable.in.R."
"can.render","Which.of.the.following.do.you.feel.comfortable.doing..Note...It.s.okay.if.you.don.t.feel.comfortable.doing.any.of.this.yet..The.point.of.the.class.is.to.learn....but.it.will.help.me.get.a.sense.of.the.pace.for.the.first.few.weeks...Render.an.R.Markdown.file.."
"can.lm","Which.of.the.following.do.you.feel.comfortable.doing..Note...It.s.okay.if.you.don.t.feel.comfortable.doing.any.of.this.yet..The.point.of.the.class.is.to.learn....but.it.will.help.me.get.a.sense.of.the.pace.for.the.first.few.weeks...Define.a.linear.model.in.R."
"can.interp","Which.of.the.following.do.you.feel.comfortable.doing..Note...It.s.okay.if.you.don.t.feel.comfortable.doing.any.of.this.yet..The.point.of.the.class.is.to.learn....but.it.will.help.me.get.a.sense.of.the.pace.for.the.first.few.weeks...Interpret.the.results.of.a.linear.regression.."
"can.pvalue","Which.of.the.following.do.you.feel.comfortable.doing..Note...It.s.okay.if.you.don.t.feel.comfortable.doing.any.of.this.yet..The.point.of.the.class.is.to.learn....but.it.will.help.me.get.a.sense.of.the.pace.for.the.first.few.weeks...Define.what.it.means.for.a.result.to.be..statistically.significant.."
"can.sevsd","Which.of.the.following.do.you.feel.comfortable.doing..Note...It.s.okay.if.you.don.t.feel.comfortable.doing.any.of.this.yet..The.point.of.the.class.is.to.learn....but.it.will.help.me.get.a.sense.of.the.pace.for.the.first.few.weeks...Explain.the.difference.between.standard.deviation.and.standard.error.."
"can.95ci","Which.of.the.following.do.you.feel.comfortable.doing..Note...It.s.okay.if.you.don.t.feel.comfortable.doing.any.of.this.yet..The.point.of.the.class.is.to.learn....but.it.will.help.me.get.a.sense.of.the.pace.for.the.first.few.weeks...Define.a.95..confidence.interval.."
"can.forloop","Which.of.the.following.do.you.feel.comfortable.doing..Note...It.s.okay.if.you.don.t.feel.comfortable.doing.any.of.this.yet..The.point.of.the.class.is.to.learn....but.it.will.help.me.get.a.sense.of.the.pace.for.the.first.few.weeks...Write.a.for.loop."
"self.skills","X..I.have.strong.computer.skills.."
"class.skills","X..I.think.that.my.classmates.have.strong.computer.skills.."
"self.excite","X..I.am.excited.about.taking.this.course.."
"class.excite","X..I.think.that.my.classmates.are.excited.about.taking.this.course.."
"self.prep","X..I.feel.prepared.to.do.well.in.this.course.."
"class.prep","X..My.classmates.are.prepared.to.do.well.in.this.course.."
"learn.concept","X..I.think.that.I.will.be.able.to.understand.the..conceptual..part.of.this.course.."
"learn.r","X..I.think.that.I.will.be.able.to.master.the..computational..part.of.this.course.."
"can.science","Please.answer.the.following.questions.about.your.beliefs.about.statistics.in.general...I.think.people.can.be.studied.scientifically.."
"should.science","Please.answer.the.following.questions.about.your.beliefs.about.statistics.in.general...I.think.people.should.be.studied.scientifically.."
"truth.people","Please.answer.the.following.questions.about.your.beliefs.about.statistics.in.general...I.think.that.there.is.a..truth..about.what.people.are.like.."
"not.psychsci","Please.answer.the.following.questions.about.your.beliefs.about.statistics.in.general...I.don.t.think.psychology.is.a..real.science...like.physics.and.biology.."
"perf.pred","Please.answer.the.following.questions.about.your.beliefs.about.statistics.in.general...I.think.people.s.thoughts..feelings..or.behaviors.can.be.entirely.explained.by.science.."
"noperf.pred","Please.answer.the.following.questions.about.your.beliefs.about.statistics.in.general...I.don.t.think.that.people.s.behavior.or.thoughts.can.be.perfectly.explained.by.science.."
"too.complex","Please.answer.the.following.questions.about.your.beliefs.about.statistics.in.general...I.think.that.people.are.too.complex.to.be.ever.fully.understood.."
"epistemology","If.you.had.to.choose.one..which.of.the.following.beliefs.do.you.have...We.ll.talk.more.about.these.ideas.in.class.this.week..just.go.with.your.gut.if.you.are.confused.."
"consent","Okay.to.use.your.responses.to.this.page.of.questions.as.part.of.an.in.class.dataset..I.ll.make.sure.to.remove.any.demographic.data..from.Page.1..before.sharing."
